座位编号,座位类型,状态,关联自习室ID.自习室名称,关联自习室ID.ID
room-005-6-6,图书馆西区-6-6,有插座,可用,图书馆西区,room-005
room-005-6-7,图书馆西区-6-7,普通,可用,图书馆西区,room-005
room-005-6-8,图书馆西区-6-8,靠窗,可用,图书馆西区,room-005
room-005-6-9,图书馆西区-6-9,有插座,可用,图书馆西区,room-005
room-005-6-10,图书馆西区-6-10,普通,可用,图书馆西区,room-005
room-005-7-1,图书馆西区-7-1,靠窗,可用,图书馆西区,room-005
room-005-7-2,图书馆西区-7-2,有插座,可用,图书馆西区,room-005
room-005-7-3,图书馆西区-7-3,普通,可用,图书馆西区,room-005
room-005-7-4,图书馆西区-7-4,靠窗,可用,图书馆西区,room-005
room-005-7-5,图书馆西区-7-5,有插座,可用,图书馆西区,room-005
room-005-7-6,图书馆西区-7-6,普通,可用,图书馆西区,room-005
room-005-7-7,图书馆西区-7-7,靠窗,可用,图书馆西区,room-005
room-005-7-8,图书馆西区-7-8,有插座,可用,图书馆西区,room-005
room-005-7-9,图书馆西区-7-9,普通,可用,图书馆西区,room-005
room-005-7-10,图书馆西区-7-10,靠窗,可用,图书馆西区,room-005
room-005-8-1,图书馆西区-8-1,有插座,可用,图书馆西区,room-005
room-005-8-2,图书馆西区-8-2,普通,可用,图书馆西区,room-005
room-005-8-3,图书馆西区-8-3,靠窗,可用,图书馆西区,room-005
room-005-8-4,图书馆西区-8-4,有插座,可用,图书馆西区,room-005
room-005-8-5,图书馆西区-8-5,普通,可用,图书馆西区,room-005
room-005-8-6,图书馆西区-8-6,靠窗,可用,图书馆西区,room-005
room-005-8-7,图书馆西区-8-7,有插座,可用,图书馆西区,room-005
room-005-8-8,图书馆西区-8-8,普通,可用,图书馆西区,room-005
room-005-8-9,图书馆西区-8-9,靠窗,可用,图书馆西区,room-005
room-005-8-10,图书馆西区-8-10,有插座,可用,图书馆西区,room-005
room-005-9-1,图书馆西区-9-1,普通,可用,图书馆西区,room-005
room-005-9-2,图书馆西区-9-2,靠窗,可用,图书馆西区,room-005
room-005-9-3,图书馆西区-9-3,有插座,可用,图书馆西区,room-005
room-005-9-4,图书馆西区-9-4,普通,可用,图书馆西区,room-005
room-005-9-5,图书馆西区-9-5,靠窗,可用,图书馆西区,room-005
room-005-9-6,图书馆西区-9-6,有插座,可用,图书馆西区,room-005
room-005-9-7,图书馆西区-9-7,普通,可用,图书馆西区,room-005
room-005-9-8,图书馆西区-9-8,靠窗,可用,图书馆西区,room-005
room-005-9-9,图书馆西区-9-9,有插座,可用,图书馆西区,room-005
room-005-9-10,图书馆西区-9-10,普通,可用,图书馆西区,room-005

